Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Apr-03,133.9,145.9,125.65,132.2,16929889,88775,2266489180,20.25,5487936,32.42,-1.7
May-03,132.7,160.2,131,157.8,20530589,99407,2978103572,29.2,6577654,32.04,25.1
Jun-03,158.5,171.75,147.35,169.15,30100397,146980,4756564349,24.4,9617502,31.95,10.65
Jul-03,170.3,213.4,167.75,208.15,58838202,284156,11289599565,45.65,10084370,17.14,37.85
Aug-03,210,265.5,208.25,252.1,77916186,371292,18673489297,57.25,10309074,13.23,42.1
Sep-03,253.5,275.3,243,271.7,98432370,477550,25465359318,32.3,11645758,11.83,18.2
Oct-03,271.65,363.45,269.1,358.45,152538645,751548,50501377840,94.35,17031299,11.17,86.8
Nov-03,361,390,333,361.05,95405832,498943,34417592111,57,9469588,9.93,0.05
Dec-03,368.5,445.35,352.35,444.05,72297661,388742,28170897277,93,7824337,10.82,75.55
Jan-04,450,466.45,386.35,404.45,91000122,507707,39883404800,80.1,10131199,11.13,-45.55
Feb-04,409.75,456.95,382.5,429.7,106262258,642501,45420048238,74.45,6297666,5.93,19.95
Mar-04,433.4,451.8,352.15,383.5,105972990,693216,43005357016,99.65,5797082,5.47,-49.9
Apr-04,384.8,425,355,357.8,66900057,464960,26334722906,70,7019905,10.49,-27
May-04,355.5,368.4,231.2,296.25,108295818,745588,34487803362,137.2,14384309,13.28,-59.25
Jun-04,310,322.7,265,300.8,91685354,701596,27036322565,57.7,7879169,8.59,-9.2
Jul-04,307.8,398,285,392,104791639,795120,35455143185,113,8959319,8.55,84.2
Aug-04,391,409.9,241.45,251.9,83627304,574685,25563404901,168.45,8652989,10.35,-139.1
Sep-04,255.4,295.8,247,288.95,65790775,415140,18111678578,48.8,10169711,15.46,33.55
Oct-04,295,305.2,277.9,287.65,62294259,400969,18149102696,27.3,10207918,16.39,-7.35
Nov-04,291,325.4,285.15,323.4,37612920,261198,11509305405,40.25,5981869,15.9,32.4
Dec-04,325,396.65,314.15,385.45,43109151,329582,15105433387,82.5,6902672,16.01,60.45
Jan-05,391,393,336.1,386,49922793,381891,17967485894,56.9,6241596,12.5,-5
Feb-05,387.8,425.65,380.1,422.4,44531898,335934,18025188793,45.55,6350216,14.26,34.6
Mar-05,425,446.5,391.35,400.9,46237136,310620,19610231869,55.15,8262630,17.87,-24.1
Apr-05,404.9,411.7,339.15,340.8,44900253,320037,16614639049,72.55,5658606,12.6,-64.1
May-05,343.75,367.5,339.15,362.85,40205566,297517,14318230721,28.35,5314620,13.22,19.1
Jun-05,363.5,379,330,340.1,40911192,270646,14347116967,49,9097578,22.24,-23.4
Jul-05,340,394.25,335,368.15,38936021,233129,14184819734,59.25,8010716,20.57,28.15
Aug-05,367,420,360.1,390.65,34213972,260465,13337066789,59.9,7239754,21.16,23.65
Sep-05,391,436.5,391,423.5,25504400,198289,10536889977,45.5,5645401,22.14,32.5
Oct-05,425.6,437.15,329.05,339.05,40665338,311370,15392259550,108.1,7583847,18.65,-86.55
Nov-05,342.5,375.1,331.2,349.2,37145112,312415,13204588737,43.9,7774216,20.93,6.7
Dec-05,350,384.5,345,380.3,33388393,308146,12282629356,39.5,7834217,23.46,30.3
Jan-06,382,407.25,341.35,404.25,27570131,245250,10358996229,65.9,7573535,27.47,22.25
Feb-06,406,438,379.5,430.7,28888863,270265,11697721470,58.5,6673152,23.1,24.7
Mar-06,425,541.35,425,536.4,36704278,381985,17559490122,116.35,6625430,18.05,111.4
Apr-06,539.5,670,532.05,645.35,34727661,356624,21001701896,137.95,4074124,11.73,105.85
May-06,649.55,679,416,516.7,53867664,631732,31008410493,263,7877320,14.62,-132.85
Jun-06,525,545,376.85,533.3,59126931,842250,28296686923,168.15,5653109,9.56,8.3
Jul-06,535.1,566.4,455.5,496.8,46703914,734126,23847909178,110.9,4033868,8.64,-38.3
Aug-06,497,543,485,496.2,29577853,469591,15229482894,58,3276409,11.08,-0.8
Sep-06,497,537.25,484,535.65,25757408,397806,13127777273,53.25,4118773,15.99,38.65
Oct-06,535,547,487.15,490.45,28231848,386378,14584049883,59.85,7188481,25.46,-44.55
Nov-06,490,512.95,459,467.95,22512389,357149,10957899862,53.95,4967644,22.07,-22.05
